row_order,schedule_index,condition,model_key,model,pubmed_id,gold_label,decision,error_prob,action,parse_status,parse_notes,is_correct,evidence_policy,evidence_chars,max_tokens,threshold_rule,prompt_tokens,completion_tokens,total_tokens,api_attempts,api_error,retry_events_json,response_id,response_model,system_fingerprint,request_started_utc,request_finished_utc,latency_seconds,raw_response,raw_length
36,283,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,8910148,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,604,20,624,1,,[],p1SvnPF-fdNmn-a3bc147dda4aaa1d,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:25:54.495614+00:00,2026-09-16T01:25:55.613451+00:00,1.118,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
37,288,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,20337874,REFUTED,SUPPORTED,0.2,COMMIT,full,clean,0,short,1158,300,explicit_numeric,585,20,605,1,,[],p1Svp4s-4YNCb4-a3bc14a17b4a2f84,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:26:00.223525+00:00,2026-09-16T01:26:01.142468+00:00,0.919,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
38,303,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,15052394,REFUTED,REFUTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,546,21,567,1,,[],p1Svumy-4YNCb4-a3bc15197ecd31ac,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:26:19.372114+00:00,2026-09-16T01:26:20.290510+00:00,0.918,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
39,308,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,18439500,REFUTED,SUPPORTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,663,20,683,1,,[],p1SvwaC-4YNCb4-a3bc153f4f96a279,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:26:25.461239+00:00,2026-09-16T01:26:26.947238+00:00,1.486,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
40,315,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,27491658,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,502,300,explicit_numeric,435,20,455,1,,[],p1Svysk-4YNCb4-a3bc156fb9138f26,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:26:33.200084+00:00,2026-09-16T01:26:34.013316+00:00,0.813,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
41,320,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,16962519,REFUTED,REFUTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,646,21,667,1,,[],p1Sw1YF-4YNCb4-a3bc1592acc331ac,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:26:38.832321+00:00,2026-09-16T01:26:39.502316+00:00,0.67,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
42,335,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,9199905,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1132,300,explicit_numeric,656,20,676,1,,[],p1Sw6K5-fdNmn-a3bc15f6cf98a273,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:26:54.756150+00:00,2026-09-16T01:26:55.824881+00:00,1.069,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
43,340,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,14745753,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,929,300,explicit_numeric,536,20,556,1,,[],p1Sw843-fdNmn-a3bc161b7a258f26,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:27:00.640974+00:00,2026-09-16T01:27:01.967313+00:00,1.326,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
44,347,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23506394,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,570,20,590,1,,[],p1SwAWR-fdNmn-a3bc164f1afa5895,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:27:08.899897+00:00,2026-09-16T01:27:10.163588+00:00,1.264,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
45,352,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,20064872,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,672,20,692,1,,[],p1SwCMY-4YNCb4-a3bc16761884a296,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:27:15.187485+00:00,2026-09-16T01:27:16.099335+00:00,0.912,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
46,367,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,22683044,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,602,20,622,1,,[],p1SwHLt-4YNCb4-a3bc16df0a5e8ea6,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:27:31.978343+00:00,2026-09-16T01:27:33.199832+00:00,1.222,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
47,372,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23870157,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,565,20,585,1,,[],p1SwKEi-4YNCb4-a3bc1706be290682,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:27:38.323764+00:00,2026-09-16T01:27:39.345740+00:00,1.022,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
48,379,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,20401819,SUPPORTED,INCONCLUSIVE,0.6,SEEK_EVIDENCE,full,clean,0,short,944,300,explicit_numeric,511,24,535,1,,[],p1SwMgF-fdNmn-a3bc1739ecbd5b05,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:27:46.521945+00:00,2026-09-16T01:27:47.435167+00:00,0.913,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.6
ACTION: SEEK_EVIDENCE",67
49,384,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,22117569,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,530,20,550,1,,[],p1SwPMK-4YNCb4-a3bc175d4a6ca2c0,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:27:52.157627+00:00,2026-09-16T01:27:53.168307+00:00,1.011,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
50,399,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,10811329,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,651,20,671,1,,[],p1SwVKh-fdNmn-a3bc17daab565895,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:28:12.223153+00:00,2026-09-16T01:28:13.344818+00:00,1.122,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
51,404,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23224030,SUPPORTED,REFUTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,606,21,627,1,,[],p1SwX92-4YNCb4-a3bc18010f72aa1d,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:28:18.358535+00:00,2026-09-16T01:28:19.282241+00:00,0.924,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
52,411,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,24318956,SUPPORTED,REFUTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,607,21,628,1,,[],p1SwZaM-4YNCb4-a3bc18344b5ba293,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:28:26.556427+00:00,2026-09-16T01:28:27.500163+00:00,0.944,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
53,416,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,24014276,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,597,20,617,1,,[],p1SwcnA-fdNmn-a3bc18775afac521,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:28:37.312528+00:00,2026-09-16T01:28:38.922002+00:00,1.61,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
54,431,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,26561905,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,578,20,598,1,,[],p1SwiCD-fdNmn-a3bc18e92cd6efec,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:28:55.533888+00:00,2026-09-16T01:28:56.452708+00:00,0.919,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
55,436,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23806388,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,615,20,635,1,,[],p1Swjr4-4YNCb4-a3bc190c2ca2df96,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:29:01.063940+00:00,2026-09-16T01:29:01.879731+00:00,0.816,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
56,443,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,7482275,REFUTED,REFUTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,580,21,601,1,,[],p1SwnDS-fdNmn-a3bc193dbb935e1b,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:29:09.052233+00:00,2026-09-16T01:29:09.866992+00:00,0.815,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
